"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,3,314,63,251,16,"menor a 7 dias","entre 7 y 14 dias"
"2",2,3,656,211,444,16,"entre 7 y 14 dias","mayor a 14 dias"
"3",3,6,100,695,595,9,"mayor a 14 dias","menor a 7 dias"
"4",4,1,114,121,7,16,"menor a 7 dias","menor a 7 dias"
"5",5,1,136,151,15,5,"menor a 7 dias","menor a 7 dias"
"6",6,2,284,178,106,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"7",7,3,139,409,270,6,"mayor a 14 dias","menor a 7 dias"
"8",8,3,161,198,37,7,"entre 7 y 14 dias","menor a 7 dias"
"9",9,2,186,973,787,8,"mayor a 14 dias","entre 7 y 14 dias"
"10",10,1,114,144,30,4,"menor a 7 dias","menor a 7 dias"
"11",11,6,138,316,178,4,"entre 7 y 14 dias","menor a 7 dias"
"12",12,1,423,109,314,10,"menor a 7 dias","mayor a 14 dias"
"13",13,2,427,683,257,9,"mayor a 14 dias","mayor a 14 dias"
"14",14,6,261,297,35,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"15",15,1,38,12,27,10,"menor a 7 dias","menor a 7 dias"
"16",16,2,432,303,130,7,"entre 7 y 14 dias","mayor a 14 dias"
"17",17,6,153,115,39,2,"menor a 7 dias","menor a 7 dias"
"18",18,4,277,131,146,5,"menor a 7 dias","entre 7 y 14 dias"
"19",19,4,454,399,55,4,"mayor a 14 dias","mayor a 14 dias"
"20",20,1,354,897,543,7,"mayor a 14 dias","mayor a 14 dias"
"21",21,2,179,1143,964,1,"mayor a 14 dias","entre 7 y 14 dias"
"22",22,5,180,111,69,16,"menor a 7 dias","entre 7 y 14 dias"
"23",23,4,126,21,105,6,"menor a 7 dias","menor a 7 dias"
"24",24,3,914,92,822,7,"menor a 7 dias","mayor a 14 dias"
"25",25,6,105,70,35,8,"menor a 7 dias","menor a 7 dias"
"26",26,2,437,162,276,6,"menor a 7 dias","mayor a 14 dias"
"27",27,5,530,33,496,15,"menor a 7 dias","mayor a 14 dias"
"28",28,1,60,361,301,16,"mayor a 14 dias","menor a 7 dias"
"29",29,6,216,13,203,2,"menor a 7 dias","entre 7 y 14 dias"
"30",30,2,309,92,217,4,"menor a 7 dias","entre 7 y 14 dias"
"31",31,2,168,735,567,3,"mayor a 14 dias","entre 7 y 14 dias"
"32",32,6,247,90,158,7,"menor a 7 dias","entre 7 y 14 dias"
"33",33,4,693,231,462,3,"entre 7 y 14 dias","mayor a 14 dias"
"34",34,2,288,217,71,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"35",35,2,290,86,204,4,"menor a 7 dias","entre 7 y 14 dias"
"36",36,4,304,540,236,5,"mayor a 14 dias","entre 7 y 14 dias"
"37",37,3,53,126,73,4,"menor a 7 dias","menor a 7 dias"
"38",38,3,89,349,261,15,"mayor a 14 dias","menor a 7 dias"
"39",39,2,194,139,55,4,"menor a 7 dias","entre 7 y 14 dias"
"40",40,2,243,1317,1074,4,"mayor a 14 dias","entre 7 y 14 dias"
"41",41,1,165,17,148,4,"menor a 7 dias","menor a 7 dias"
"42",42,6,422,227,195,8,"entre 7 y 14 dias","mayor a 14 dias"
"43",43,3,146,80,67,10,"menor a 7 dias","menor a 7 dias"
"44",44,3,285,468,184,4,"mayor a 14 dias","entre 7 y 14 dias"
"45",45,1,370,315,54,11,"entre 7 y 14 dias","mayor a 14 dias"
"46",46,2,245,849,604,8,"mayor a 14 dias","entre 7 y 14 dias"
"47",47,2,410,46,364,16,"menor a 7 dias","mayor a 14 dias"
"48",48,1,311,541,230,15,"mayor a 14 dias","entre 7 y 14 dias"
"49",49,3,201,165,36,13,"menor a 7 dias","entre 7 y 14 dias"
"50",50,2,62,304,242,1,"entre 7 y 14 dias","menor a 7 dias"
"51",51,4,257,636,379,10,"mayor a 14 dias","entre 7 y 14 dias"
"52",52,2,350,685,335,6,"mayor a 14 dias","mayor a 14 dias"
"53",53,6,215,51,164,15,"menor a 7 dias","entre 7 y 14 dias"
"54",54,2,139,268,129,10,"entre 7 y 14 dias","menor a 7 dias"
"55",55,3,27,168,141,7,"entre 7 y 14 dias","menor a 7 dias"
"56",56,1,248,641,394,4,"mayor a 14 dias","entre 7 y 14 dias"
"57",57,1,322,736,414,16,"mayor a 14 dias","entre 7 y 14 dias"
"58",58,2,50,56,6,10,"menor a 7 dias","menor a 7 dias"
"59",59,2,280,467,186,4,"mayor a 14 dias","entre 7 y 14 dias"
"60",60,2,201,1059,858,9,"mayor a 14 dias","entre 7 y 14 dias"
"61",61,2,183,372,189,16,"mayor a 14 dias","entre 7 y 14 dias"
"62",62,5,139,108,31,11,"menor a 7 dias","menor a 7 dias"
"63",63,1,393,504,111,16,"mayor a 14 dias","mayor a 14 dias"
"64",64,6,362,263,99,4,"entre 7 y 14 dias","mayor a 14 dias"
"65",65,3,460,109,352,10,"menor a 7 dias","mayor a 14 dias"
"66",66,6,505,122,383,7,"menor a 7 dias","mayor a 14 dias"
"67",67,4,212,129,83,4,"menor a 7 dias","entre 7 y 14 dias"
"68",68,3,447,88,360,10,"menor a 7 dias","mayor a 14 dias"
"69",69,5,249,1295,1046,4,"mayor a 14 dias","entre 7 y 14 dias"
"70",70,2,370,12,358,6,"menor a 7 dias","mayor a 14 dias"
"71",71,2,170,176,6,2,"entre 7 y 14 dias","entre 7 y 14 dias"
"72",72,4,473,492,19,10,"mayor a 14 dias","mayor a 14 dias"
"73",73,6,620,2,619,4,"menor a 7 dias","mayor a 14 dias"
"74",74,1,364,34,330,1,"menor a 7 dias","mayor a 14 dias"
"75",75,4,290,178,112,3,"entre 7 y 14 dias","entre 7 y 14 dias"
"76",76,2,271,647,375,4,"mayor a 14 dias","entre 7 y 14 dias"
"77",77,3,111,103,8,4,"menor a 7 dias","menor a 7 dias"
"78",78,1,212,372,161,7,"mayor a 14 dias","entre 7 y 14 dias"
"79",79,2,236,39,197,5,"menor a 7 dias","entre 7 y 14 dias"
"80",80,1,259,641,382,4,"mayor a 14 dias","entre 7 y 14 dias"
"81",81,2,84,564,480,8,"mayor a 14 dias","menor a 7 dias"
"82",82,1,184,79,104,16,"menor a 7 dias","entre 7 y 14 dias"
"83",83,5,271,306,35,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"84",84,6,269,83,186,1,"menor a 7 dias","entre 7 y 14 dias"
"85",85,6,283,297,14,14,"entre 7 y 14 dias","entre 7 y 14 dias"
"86",86,3,73,40,33,9,"menor a 7 dias","menor a 7 dias"
"87",87,4,163,34,129,10,"menor a 7 dias","menor a 7 dias"
"88",88,1,254,329,76,13,"entre 7 y 14 dias","entre 7 y 14 dias"
"89",89,2,156,80,76,6,"menor a 7 dias","menor a 7 dias"
"90",90,6,286,241,45,1,"entre 7 y 14 dias","entre 7 y 14 dias"
"91",91,5,206,79,127,4,"menor a 7 dias","entre 7 y 14 dias"
"92",92,4,328,99,229,4,"menor a 7 dias","entre 7 y 14 dias"
"93",93,2,446,98,348,8,"menor a 7 dias","mayor a 14 dias"
"94",94,3,330,50,280,2,"menor a 7 dias","entre 7 y 14 dias"
"95",95,4,238,420,182,13,"mayor a 14 dias","entre 7 y 14 dias"
"96",96,4,667,271,396,10,"entre 7 y 14 dias","mayor a 14 dias"
"97",97,1,223,69,154,5,"menor a 7 dias","entre 7 y 14 dias"
"98",98,1,541,101,441,1,"menor a 7 dias","mayor a 14 dias"
"99",99,4,471,119,351,6,"menor a 7 dias","mayor a 14 dias"
"100",100,2,298,866,568,10,"mayor a 14 dias","entre 7 y 14 dias"
"101",101,2,361,43,318,14,"menor a 7 dias","mayor a 14 dias"
"102",102,1,185,609,424,8,"mayor a 14 dias","entre 7 y 14 dias"
"103",103,2,365,254,111,15,"entre 7 y 14 dias","mayor a 14 dias"
"104",104,2,191,189,2,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"105",105,2,373,552,179,9,"mayor a 14 dias","mayor a 14 dias"
"106",106,1,80,358,278,11,"mayor a 14 dias","menor a 7 dias"
"107",107,3,502,121,381,8,"menor a 7 dias","mayor a 14 dias"
"108",108,3,184,312,128,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"109",109,2,379,406,27,16,"mayor a 14 dias","mayor a 14 dias"
"110",110,6,746,70,677,8,"menor a 7 dias","mayor a 14 dias"
"111",111,1,342,435,93,4,"mayor a 14 dias","mayor a 14 dias"
"112",112,6,282,396,114,5,"mayor a 14 dias","entre 7 y 14 dias"
"113",113,1,172,47,125,16,"menor a 7 dias","entre 7 y 14 dias"
"114",114,3,201,122,79,9,"menor a 7 dias","entre 7 y 14 dias"
"115",115,5,185,94,91,2,"menor a 7 dias","entre 7 y 14 dias"
"116",116,3,191,81,109,4,"menor a 7 dias","entre 7 y 14 dias"
"117",117,3,419,272,148,10,"entre 7 y 14 dias","mayor a 14 dias"
"118",118,2,74,275,201,12,"entre 7 y 14 dias","menor a 7 dias"
"119",119,3,123,323,201,7,"entre 7 y 14 dias","menor a 7 dias"
"120",120,2,246,383,137,10,"mayor a 14 dias","entre 7 y 14 dias"
"121",121,1,118,65,53,9,"menor a 7 dias","menor a 7 dias"
"122",122,4,89,653,564,4,"mayor a 14 dias","menor a 7 dias"
"123",123,3,190,738,549,10,"mayor a 14 dias","entre 7 y 14 dias"
"124",124,2,669,670,1,16,"mayor a 14 dias","mayor a 14 dias"
"125",125,3,211,237,26,6,"entre 7 y 14 dias","entre 7 y 14 dias"
"126",126,2,241,473,232,5,"mayor a 14 dias","entre 7 y 14 dias"
"127",127,1,732,56,676,8,"menor a 7 dias","mayor a 14 dias"
"128",128,2,163,191,27,4,"entre 7 y 14 dias","menor a 7 dias"
"129",129,2,396,353,43,15,"mayor a 14 dias","mayor a 14 dias"
"130",130,4,167,152,16,14,"menor a 7 dias","menor a 7 dias"
"131",131,5,699,168,531,1,"entre 7 y 14 dias","mayor a 14 dias"
