"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,1,115,635,519,4,"mayor a 14 dias","menor a 7 dias"
"2",2,1,130,101,29,16,"menor a 7 dias","menor a 7 dias"
"3",3,1,427,309,118,7,"entre 7 y 14 dias","mayor a 14 dias"
"4",4,5,100,310,211,12,"entre 7 y 14 dias","menor a 7 dias"
"5",5,5,108,55,53,6,"menor a 7 dias","menor a 7 dias"
"6",6,3,136,29,107,8,"menor a 7 dias","menor a 7 dias"
"7",7,5,329,296,33,9,"entre 7 y 14 dias","entre 7 y 14 dias"
"8",8,6,51,58,7,4,"menor a 7 dias","menor a 7 dias"
"9",9,2,381,77,304,16,"menor a 7 dias","mayor a 14 dias"
"10",10,1,442,105,337,4,"menor a 7 dias","mayor a 14 dias"
"11",11,4,464,285,179,8,"entre 7 y 14 dias","mayor a 14 dias"
"12",12,2,419,824,405,8,"mayor a 14 dias","mayor a 14 dias"
"13",13,2,333,175,158,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"14",14,1,352,265,87,4,"entre 7 y 14 dias","mayor a 14 dias"
"15",15,2,231,435,204,12,"mayor a 14 dias","entre 7 y 14 dias"
"16",16,3,178,337,159,12,"mayor a 14 dias","entre 7 y 14 dias"
"17",17,2,233,25,208,16,"menor a 7 dias","entre 7 y 14 dias"
"18",18,2,461,640,178,8,"mayor a 14 dias","mayor a 14 dias"
"19",19,4,414,40,373,4,"menor a 7 dias","mayor a 14 dias"
"20",20,6,212,50,162,5,"menor a 7 dias","entre 7 y 14 dias"
"21",21,4,298,177,121,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"22",22,6,252,858,606,14,"mayor a 14 dias","entre 7 y 14 dias"
"23",23,3,162,402,239,14,"mayor a 14 dias","menor a 7 dias"
"24",24,2,357,45,312,4,"menor a 7 dias","mayor a 14 dias"
"25",25,5,331,108,223,9,"menor a 7 dias","entre 7 y 14 dias"
"26",26,2,160,42,118,4,"menor a 7 dias","menor a 7 dias"
"27",27,2,250,157,93,10,"menor a 7 dias","entre 7 y 14 dias"
"28",28,4,636,593,43,6,"mayor a 14 dias","mayor a 14 dias"
"29",29,4,300,254,47,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"30",30,3,429,213,216,10,"entre 7 y 14 dias","mayor a 14 dias"
"31",31,3,89,184,95,4,"entre 7 y 14 dias","menor a 7 dias"
"32",32,3,218,151,67,16,"menor a 7 dias","entre 7 y 14 dias"
"33",33,1,100,192,92,3,"entre 7 y 14 dias","menor a 7 dias"
"34",34,3,89,132,43,9,"menor a 7 dias","menor a 7 dias"
"35",35,6,345,80,264,1,"menor a 7 dias","mayor a 14 dias"
"36",36,6,442,219,223,9,"entre 7 y 14 dias","mayor a 14 dias"
"37",37,2,180,113,67,9,"menor a 7 dias","entre 7 y 14 dias"
"38",38,3,296,299,3,8,"entre 7 y 14 dias","entre 7 y 14 dias"
"39",39,1,320,210,110,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"40",40,1,246,63,183,6,"menor a 7 dias","entre 7 y 14 dias"
"41",41,2,149,317,168,16,"entre 7 y 14 dias","menor a 7 dias"
"42",42,3,410,465,55,15,"mayor a 14 dias","mayor a 14 dias"
"43",43,2,177,328,151,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"44",44,3,425,258,167,6,"entre 7 y 14 dias","mayor a 14 dias"
"45",45,1,265,156,109,1,"menor a 7 dias","entre 7 y 14 dias"
